uid, ExecutingPending, AgentStagingOutput, PendingInputStaging, FAILED, StagingInput, StagingOutput, Executing, AgentStagingInputPending, Done, AgentStagingOutputPending, AllocatingPending, New, Allocating, AgentStagingInput, PendingOutputStaging, 
unit.000018, 123.974599838, 134.260699987, 112.023499727, 135.686699867, 112.168499708, 135.096299887, 124.308300018, 112.193799734, 135.121599913, 133.812200069, 123.972599983, 111.241299868, 123.974400043, 123.964400053, 134.306599855, 
unit.000019, 124.288100004, 134.497799873, 112.275799751, 135.73789978, 112.422899723, 135.35109973, 124.40719986, 112.448099852, 135.376299858, 133.81430006, 124.286200047, 111.242799759, 124.287899971, 124.278700113, 134.506299973, 
unit.000010, 123.879999876, 133.676099777, 111.746199846, 135.890699863, 111.864299774, 134.805999756, 123.960599899, 111.889499903, 134.831099749, 133.305999994, 123.878000021, 111.228899717, 123.879799843, 123.871099949, 133.685199976, 
unit.000011, 123.903800011, 133.527299881, 111.821799755, 135.941999912, 111.965399742, 134.894199848, 123.991699934, 111.990599871, 134.919199944, 133.303999901, 123.901900053, 111.230499744, 123.903599977, 123.894999981, 133.53579998, 
unit.000012, 123.919100046, 133.536499977, 111.87229991, 135.992699862, 112.01609993, 134.944699764, 124.011299849, 112.04129982, 134.969799757, 133.304399967, 123.917200089, 111.231999874, 123.918900013, 123.910700083, 133.587499857, 
unit.000013, 123.935499907, 134.199799776, 111.922799826, 136.043299913, 112.066899776, 134.995199919, 124.181999922, 112.092099905, 135.020299911, 133.8118999, 123.933599949, 111.233499765, 123.935299873, 123.925800085, 134.25999999, 
unit.000014, 123.957199812, 134.326299906, 111.973299742, 136.093899727, 112.117599726, 135.045799732, 124.287899971, 112.142899752, 135.070799828, 133.813299894, 123.955300093, 111.235099792, 123.957000017, 123.947299957, 134.36619997, 
unit.000015, 123.982499838, 133.985399961, 112.048899889, 136.151499748, 112.168899775, 135.109399796, 124.317600012, 112.193999767, 135.134699821, 133.809999943, 123.980600119, 111.236599922, 123.982300043, 123.97329998, 134.027199984, 
unit.000016, 123.998600006, 134.027799845, 112.099399805, 136.202199936, 112.220199823, 135.160299778, 124.337899923, 112.245499849, 135.18569994, 133.810400009, 123.996700048, 111.238099813, 123.998399973, 123.989200115, 134.064899921, 
unit.000017, 124.021299839, 134.366999865, 112.174899817, 136.252899885, 112.321299791, 135.249199867, 124.368200064, 112.346399784, 135.274199724, 133.813600063, 124.01940012, 111.239599943, 124.021100044, 124.011899948, 134.393299818, 
unit.000050, 139.591699839, 142.631899834, 138.2645998, 144.768599749, 138.596099854, 143.056599855, 139.593299866, 138.621199846, 143.081799746, 142.441499949, 139.589299917, 138.136999846, 139.591399908, 139.526499987, 142.668199778, 
unit.000051, 139.66779995, 142.530999899, 138.3974998, 144.717699766, 138.597299814, 142.954299927, 139.669399977, 138.622399807, 142.979499817, 142.439800024, 139.665499926, 138.269599915, 139.667599916, 139.590199947, 142.563999891, 
unit.000083, 147.751699924, 798.014699936, 146.203099728, 807.375399828, 146.593699932, 798.511999846, 147.753399849, 146.618699789, 805.94149971, 798.014499903, 147.749200106, 146.070199728, 147.751399994, 147.71359992, 798.022699833, 
unit.000082, 147.714999914, 888.017799854, 146.062399864, 899.229899883, 146.59319973, 891.32619977, 147.716799974, 146.618299723, 898.441699743, 888.01760006, 147.712599993, 145.93329978, 147.714699984, 147.645999908, 888.021299839, 
unit.000081, 147.647399902, 815.778899908, 145.927699804, 823.715399742, 146.54219985, 816.088899851, 147.649100065, 146.567299843, 821.176499844, 815.778599977, 147.644999981, 145.800199747, 147.647099972, 147.600199938, 815.782999992, 
unit.000080, 147.601599932, 885.810799837, 145.794999838, 892.311199903, 146.541699886, 886.094799757, 147.603100061, 146.566799879, 891.248799801, 885.81069994, 147.599400043, 145.667499781, 147.601300001, 147.583199978, 885.814699888, 
unit.000087, 147.896800041, 871.86439991, 146.735099792, 878.281499863, 146.747099876, 872.260699749, 147.898499966, 146.772299767, 877.690299749, 871.864099979, 147.894299984, 146.607999802, 147.896499872, 147.853300095, 871.926999807, 
unit.000085, 147.828500032, 908.477199793, 146.471199751, 917.316899776, 146.644099712, 909.831899881, 147.83010006, 146.669099808, 914.945299864, 908.477099895, 147.826100111, 146.343699932, 147.828199863, 147.800400019, 908.481899977, 
unit.000084, 147.801800013, 863.138700008, 146.336299896, 871.439299822, 146.643699884, 864.661499739, 147.803499937, 146.668699741, 869.759699821, 863.138399839, 147.799400091, 146.208399773, 147.801499844, 147.750299931, 863.142699957, 
unit.000089, 148.808899879, 908.376299858, 147.000799894, 920.853499889, 147.774399757, 913.979799747, 148.81069994, 147.799699783, 918.992599726, 908.376299858, 148.806200027, 146.873399734, 148.808599949, 148.75819993, 908.397199869, 
unit.000088, 148.759699821, 927.993199825, 146.867699862, 938.432199717, 147.723599911, 929.279499769, 148.761600018, 147.748699903, 934.882399797, 927.924499989, 148.757100105, 146.740199804, 148.759399891, 148.711300135, 928.038899899, 
unit.000029, 123.948599815, 133.913699865, 111.947999716, 136.709499836, 112.067299843, 135.008599758, 124.278300047, 112.092499733, 135.033699751, 133.809299946, 123.946700096, 111.257799864, 123.948400021, 123.934299946, 133.933899879, 
unit.000028, 123.927000046, 133.877299786, 111.897599936, 136.76609993, 112.016499758, 134.957999706, 124.020799875, 112.041699886, 134.983099937, 133.808899879, 123.924999952, 111.25639987, 123.926800013, 123.917900085, 133.913100004, 
unit.000025, 123.87229991, 133.477699995, 111.720999718, 136.816999912, 111.863899708, 134.792699814, 123.950599909, 111.889099836, 134.817899942, 133.303299904, 123.870399952, 111.251899719, 123.872099876, 123.862699986, 133.517199993, 
unit.000024, 123.864099979, 133.64109993, 111.645199776, 136.87169981, 111.762499809, 134.704599857, 123.914799929, 111.787799835, 134.72969985, 133.305599928, 123.846400023, 111.250499725, 123.863899946, 123.839699984, 133.675499916, 
unit.000027, 123.911900043, 133.685899973, 111.846999884, 136.506099939, 111.965799809, 134.90719986, 124.001299858, 111.990999937, 134.932499886, 133.306299925, 123.910000086, 111.25489974, 123.91170001, 123.90260005, 133.745699883, 
unit.000026, 123.887599945, 133.517799854, 111.771399736, 136.974299908, 111.914699793, 134.843299866, 123.970900059, 111.939899921, 134.868499756, 133.30369997, 123.885699987, 111.253299713, 123.887399912, 123.878700018, 133.526599884, 
unit.000021, 124.296599865, 127.389799833, 112.301099777, 129.475399733, 112.423499823, 128.380699873, 124.41689992, 112.448699713, 128.405799866, 127.386600018, 124.29460001, 111.24609971, 124.296299934, 124.286900043, 127.393299818, 
unit.000020, 124.279999971, 134.170099974, 112.250499725, 136.303599834, 112.37259984, 135.312999725, 124.396600008, 112.39779973, 135.338099718, 133.811500072, 124.278000116, 111.244299889, 124.279799938, 124.269799948, 134.199199915, 
unit.000023, 123.862299919, 133.746299982, 111.59469986, 137.126899719, 111.712099791, 134.653799772, 123.895299911, 111.737099886, 134.678899765, 133.306699991, 123.831200123, 111.248999834, 123.862099886, 123.823899984, 133.755099773, 
